url,email,facebook,twitter,title 1,image 1,title 2,image 2,title 3,image 3,title 4,image 4,title 5,image 5
autobeam.myshopify.com,None,http://www.facebook.com/autobeam,None,03ANO,https://cdn.shopify.com/s/files/1/1491/0630/products/Youtube.png?v=1541369178,03ANO,https://cdn.shopify.com/s/files/1/1491/0630/products/Youtube.png?v=1541369178,501A Chromatic Mirror Indicator Bulb,https://cdn.shopify.com/s/files/1/1491/0630/products/osram.png?v=1535711373,501A Chromatic Mirror Indicator Bulb,https://cdn.shopify.com/s/files/1/1491/0630/products/osram.png?v=1535711373,581 Chromatic Indicator Bulb,https://cdn.shopify.com/s/files/1/1491/0630/products/581_new.png?v=1535711373
sadies-stickers.myshopify.com,None,https://www.facebook.com/groups/sadiesstickers/,None,Autumn Rose Weekly Kit,https://cdn.shopify.com/s/files/1/2566/6334/products/Screen_Shot_2018-08-02_at_5.31.38_AM.png?v=1533204340,Believe Foiled Weekly Kit,https://cdn.shopify.com/s/files/1/2566/6334/products/IMG_5711.JPG?v=1538141725,Black and Gold Foil Honeycomb Washi Tape,https://cdn.shopify.com/s/files/1/2566/6334/products/il_fullxfull.1457439752_5gu4.jpg?v=1529345706,Black and Gold Foil Stars Washi Tape,https://cdn.shopify.com/s/files/1/2566/6334/products/il_fullxfull.1457433314_s7qd.jpg?v=1529345720,Black Glossy Finish Washi Tape,https://cdn.shopify.com/s/files/1/2566/6334/products/il_fullxfull.1504687995_ocbe.jpg?v=1529345736
cosmeticpalace.myshopify.com,None,None,None,,,,,,,,,,
simba-development.myshopify.com,None,None,None,,,,,,,,,,
crumpler-eu.myshopify.com,info@crumpler.eu,https://www.facebook.com/crumpler.eu,https://twitter.com/crumpler_eu,Agent K,https://cdn.shopify.com/s/files/1/0046/4594/5459/products/AK-002_Front.jpg?v=1541770405,15 Seater,None,,,,,,
kakaind.myshopify.com,None,https://www.facebook.com/groups/2006253272974698/,None,"#27 Gear for 8"" Shear/Brake",https://cdn.shopify.com/s/files/1/2156/6801/products/1_e1c5b7a7-619f-41df-a439-679cfd86c98f.jpg?v=1539592377,#52  Spare parts for RM-08,https://cdn.shopify.com/s/files/1/2156/6801/products/1_738ac689-809d-4cb9-af2e-339b459cff7f.jpg?v=1539592862,10-Inch Sheet Metal Plate Shear HS-10 Top/bottom blade,https://cdn.shopify.com/s/files/1/2156/6801/products/H_d6b62f16-33c0-4e08-9054-9338e781ca83.jpg?v=1532338587,12-Inch Sheet Metal Plate Shear HS-12 Top/bottom blade,https://cdn.shopify.com/s/files/1/2156/6801/products/H_a73f5dfa-3715-49e9-8881-a06cf4e38ae9.jpg?v=1531921572,3# forming die for UB-100,https://cdn.shopify.com/s/files/1/2156/6801/products/ub-100-3.jpg?v=1523952147
mrlock.myshopify.com,None,None,None,,,,,,,,,,
phenom-elite-brand.myshopify.com,None,https://facebook.com/phenomelitebrand,https://twitter.com/phenomelite,Phenom Speed - Performance Shirt,https://cdn.shopify.com/s/files/1/2078/0321/products/mockup-41cc504b.jpg?v=1528160545,Phenom Speed - Performance Shirt,https://cdn.shopify.com/s/files/1/2078/0321/products/mockup-41cc504b.jpg?v=1528160545,,,,,,
stickershop1.myshopify.com,hello@stickershop.co.uk,http://facebook.com/stickershopuk,http://www.twitter.com/stickershopuk,Free Sample Pack,https://cdn.shopify.com/s/files/1/1057/3360/products/StickerShop_Sample_Packs_6586653d-3390-41f6-850a-5f5749a87b79.jpg?v=1520338924,Free Sample Pack,https://cdn.shopify.com/s/files/1/1057/3360/products/StickerShop_Sample_Packs_6586653d-3390-41f6-850a-5f5749a87b79.jpg?v=1520338924,105mm x 20mm Rectangle - Premium Paper - Printed Labels & Stickers,https://cdn.shopify.com/s/files/1/1057/3360/products/105mm-x-20mm-rectangle-premium-paper-printed-labels-stickers-1.jpg?v=1520338761,105mm x 20mm Rectangle - Premium Paper - Printed Labels & Stickers,https://cdn.shopify.com/s/files/1/1057/3360/products/105mm-x-20mm-rectangle-premium-paper-printed-labels-stickers-1.jpg?v=1520338761,110mm x 75mm Rectangle - Premium Paper - Printed Labels & Stickers,https://cdn.shopify.com/s/files/1/1057/3360/products/110mm-x-75mm-rectangle-premium-paper-printed-labels-stickers-1.jpg?v=1520338763
sweetlovingphotos.myshopify.com,None,None,None,Bronze Collection - 5 video tutorials,https://cdn.shopify.com/s/files/1/2535/0432/products/button_swee_bronze.jpg?v=1540655432,Golden Collection - ALL SHOP!!,https://cdn.shopify.com/s/files/1/2535/0432/products/button_sweet_gold.jpg?v=1538150940,Silver Collection - 10 videos,https://cdn.shopify.com/s/files/1/2535/0432/products/button_sweet_silver.jpg?v=1540655444,,,,
lenseyephotography.myshopify.com,None,None,None,Emotion Collection - 5 Videos,https://cdn.shopify.com/s/files/1/2552/9318/products/BOOX_3.jpg?v=1522838621,Soul Collection - 10 Videos,https://cdn.shopify.com/s/files/1/2552/9318/products/BOX_2.jpg?v=1522838613,THE VOYAGE - COMPLETE COLLECTION!!,https://cdn.shopify.com/s/files/1/2552/9318/products/boc1.jpg?v=1538230602,,,,
